"","entrezgene","uniprot_gn","ensembl_gene_id","external_gene_name","description"
"1",172141,"G5EDP9","WBGene00000001","aap-1","Phosphoinositide 3-kinase adapter subunit; Phosphoinositide kinase AdAPter subunit  [Source:UniProtKB/TrEMBL;Acc:G5EDP9]"
"2",177793,"Q19834","WBGene00000002","aat-1","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19834]"
"3",184126,"Q19151","WBGene00000003","aat-2","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19151]"
"4",180557,"O17395","WBGene00000004","aat-3","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O17395]"
"5",180557,"A0A0K3AVL7","WBGene00000004","aat-3","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O17395]"
"6",177388,"Q7YXH5","WBGene00000005","aat-4","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q7YXH5]"
"7",171814,"H2KZG9","WBGene00000006","aat-5","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]"
"8",188421,"B2D6M4","WBGene00000007","aat-6","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:B2D6M4]"
"9",188421,"Q22397","WBGene00000007","aat-6","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:B2D6M4]"
"10",186240,"O44832","WBGene00000008","aat-7","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O44832]"
"11",185079,"Q94197","WBGene00000009","aat-8","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q94197]"
"12",190250,"Q56VY0","WBGene00000010","aat-9","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0]"
"13",190250,"Q9NA91","WBGene00000010","aat-9","Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0]"
"14",266827,"G5EGC4","WBGene00000012","abf-1","Antibacterial factor-related peptide 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC4]"
"15",266826,"G5EC68","WBGene00000013","abf-2","Antibacterial factor-related peptide 2  [Source:UniProtKB/Swiss-Prot;Acc:G5EC68]"
"16",186202,"O45563","WBGene00000014","abf-3","AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:O45563]"
"17",189702,"Q9XX40","WBGene00000015","abf-4","AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9XX40]"
"18",188770,"G5EFQ2","WBGene00000016","abf-5","ABF-5; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EFQ2]"
"19",181418,"G5EBS3","WBGene00000017","abf-6","ABF-6; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EBS3]"
"20",181261,"P03949","WBGene00000018","abl-1","Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]"
"21",182849,"S6EZS3","WBGene00000019","abt-1","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]"
"22",182849,"S6FN28","WBGene00000019","abt-1","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]"
"23",171782,"Q1RS86","WBGene00000020","abt-2","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]"
"24",171782,"X5LXB2","WBGene00000020","abt-2","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]"
"25",NA,"","WBGene00000021","abt-3",""
"26",178559,"Q9TXV8","WBGene00000022","abt-4","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9TXV8]"
"27",173081,"Q9XW49","WBGene00000023","abt-5","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9XW49]"
"28",181800,"Q17400","WBGene00000024","abu-1","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q17400]"
"29",184695,"Q19594","WBGene00000025","abu-2","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q19594]"
"30",NA,"","WBGene00000026","abu-3",""
"31",353458,"Q86S74","WBGene00000027","abu-4","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q86S74]"
"32",190870,"Q9NF70","WBGene00000028","abu-5","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q9NF70]"
"33",178903,"O16501","WBGene00000029","abu-6","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16501]"
"34",182139,"O16502","WBGene00000030","abu-7","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16502]"
"35",178904,"O16511","WBGene00000031","abu-8","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16511]"
"36",187749,"G5EGB7","WBGene00000032","abu-9","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7]"
"37",187751,"G5EGB7","WBGene00000032","abu-9","Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7]"
"38",185248,"Q20002","WBGene00000033","abu-10","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q20002]"
"39",173404,"P91419","WBGene00000034","abu-11","Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:P91419]"
"40",181706,"P38433","WBGene00000035","ace-1","Acetylcholinesterase 1  [Source:UniProtKB/Swiss-Prot;Acc:P38433]"
"41",171905,"G5EDV9","WBGene00000036","ace-2","Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDV9]"
"42",175076,"Q9U295","WBGene00000037","ace-3","Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:Q9U295]"
"43",175076,"O61459","WBGene00000037","ace-3","Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:Q9U295]"
"44",175074,"G5EDN1","WBGene00000038","ace-4","Carboxylic ester hydrolase  [Source:UniProtKB/TrEMBL;Acc:G5EDN1]"
"45",180780,"Q18581","WBGene00000039","acn-1","Inactive angiotensin-converting enzyme-related protein  [Source:UniProtKB/Swiss-Prot;Acc:Q18581]"
"46",181324,"Q23500","WBGene00000040","aco-1","Probable cytoplasmic aconitate hydratase  [Source:UniProtKB/Swiss-Prot;Acc:Q23500]"
"47",176121,"P34455","WBGene00000041","aco-2","Probable aconitate hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34455]"
"48",180936,"P48182","WBGene00000042","acr-2","Acetylcholine receptor subunit beta-type acr-2  [Source:UniProtKB/Swiss-Prot;Acc:P48182]"
"49",180937,"Q93149","WBGene00000043","acr-3","Acetylcholine receptor subunit beta-type acr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q93149]"
"50",191596,"P54246","WBGene00000044","acr-5","Acetylcholine receptor subunit alpha-type acr-5  [Source:UniProtKB/Swiss-Prot;Acc:P54246]"
